"Step","bc-coldstart-v2 - param_norm","bc-coldstart-v2 - param_norm__MIN","bc-coldstart-v2 - param_norm__MAX"
"0","1803.9405517578125","1803.9405517578125","1803.9405517578125"
"50","1803.9403076171875","1803.9403076171875","1803.9403076171875"
"100","1803.9398193359375","1803.9398193359375","1803.9398193359375"
"150","1803.94091796875","1803.94091796875","1803.94091796875"
"200","1803.9447021484375","1803.9447021484375","1803.9447021484375"
"250","1803.94775390625","1803.94775390625","1803.94775390625"
"300","1803.9503173828125","1803.9503173828125","1803.9503173828125"
"350","1803.954345703125","1803.954345703125","1803.954345703125"
"400","1803.958984375","1803.958984375","1803.958984375"
"450","1803.96337890625","1803.96337890625","1803.96337890625"
"500","1803.966796875","1803.966796875","1803.966796875"
"550","1803.9693603515625","1803.9693603515625","1803.9693603515625"
"600","1803.9716796875","1803.9716796875","1803.9716796875"
"650","1803.973876953125","1803.973876953125","1803.973876953125"
"700","1803.9759521484375","1803.9759521484375","1803.9759521484375"
"750","1803.9783935546875","1803.9783935546875","1803.9783935546875"
"800","1803.981201171875","1803.981201171875","1803.981201171875"
"850","1803.9840087890625","1803.9840087890625","1803.9840087890625"
"900","1803.9871826171875","1803.9871826171875","1803.9871826171875"
"950","1803.9906005859375","1803.9906005859375","1803.9906005859375"
"1000","1803.993896484375","1803.993896484375","1803.993896484375"
"1050","1803.998046875","1803.998046875","1803.998046875"
"1100","1804.00244140625","1804.00244140625","1804.00244140625"
"1150","1804.0072021484375","1804.0072021484375","1804.0072021484375"
"1200","1804.011474609375","1804.011474609375","1804.011474609375"
"1250","1804.0167236328125","1804.0167236328125","1804.0167236328125"
"1300","1804.0220947265625","1804.0220947265625","1804.0220947265625"
"1350","1804.0284423828125","1804.0284423828125","1804.0284423828125"
"1400","1804.034912109375","1804.034912109375","1804.034912109375"
"1450","1804.0418701171875","1804.0418701171875","1804.0418701171875"
"1500","1804.048828125","1804.048828125","1804.048828125"
"1550","1804.05615234375","1804.05615234375","1804.05615234375"
"1600","1804.06396484375","1804.06396484375","1804.06396484375"
"1650","1804.07275390625","1804.07275390625","1804.07275390625"
"1700","1804.0811767578125","1804.0811767578125","1804.0811767578125"
"1750","1804.0899658203125","1804.0899658203125","1804.0899658203125"
"1800","1804.098388671875","1804.098388671875","1804.098388671875"
"1850","1804.1077880859375","1804.1077880859375","1804.1077880859375"
"1900","1804.1168212890625","1804.1168212890625","1804.1168212890625"
"1950","1804.125244140625","1804.125244140625","1804.125244140625"
"2000","1804.1356201171875","1804.1356201171875","1804.1356201171875"
"2050","1804.1463623046875","1804.1463623046875","1804.1463623046875"
"2100","1804.15673828125","1804.15673828125","1804.15673828125"
"2150","1804.166259765625","1804.166259765625","1804.166259765625"
"2200","1804.17529296875","1804.17529296875","1804.17529296875"
"2250","1804.1854248046875","1804.1854248046875","1804.1854248046875"
"2300","1804.1944580078125","1804.1944580078125","1804.1944580078125"
"2350","1804.20263671875","1804.20263671875","1804.20263671875"
"2400","1804.2110595703125","1804.2110595703125","1804.2110595703125"
"2450","1804.2198486328125","1804.2198486328125","1804.2198486328125"
"2500","1804.2279052734375","1804.2279052734375","1804.2279052734375"
"2550","1804.2352294921875","1804.2352294921875","1804.2352294921875"
"2600","1804.243408203125","1804.243408203125","1804.243408203125"
"2650","1804.250732421875","1804.250732421875","1804.250732421875"
"2700","1804.2584228515625","1804.2584228515625","1804.2584228515625"
"2750","1804.265869140625","1804.265869140625","1804.265869140625"
"2800","1804.2740478515625","1804.2740478515625","1804.2740478515625"
"2850","1804.28076171875","1804.28076171875","1804.28076171875"
"2900","1804.287353515625","1804.287353515625","1804.287353515625"
"2950","1804.293701171875","1804.293701171875","1804.293701171875"
"3000","1804.30078125","1804.30078125","1804.30078125"
"3050","1804.3074951171875","1804.3074951171875","1804.3074951171875"
"3100","1804.3138427734375","1804.3138427734375","1804.3138427734375"
"3150","1804.320068359375","1804.320068359375","1804.320068359375"
"3200","1804.32666015625","1804.32666015625","1804.32666015625"
"3250","1804.3333740234375","1804.3333740234375","1804.3333740234375"
"3300","1804.33984375","1804.33984375","1804.33984375"
"3350","1804.3468017578125","1804.3468017578125","1804.3468017578125"
"3400","1804.352783203125","1804.352783203125","1804.352783203125"
"3450","1804.3583984375","1804.3583984375","1804.3583984375"
"3500","1804.365234375","1804.365234375","1804.365234375"
"3550","1804.370849609375","1804.370849609375","1804.370849609375"
"3600","1804.3763427734375","1804.3763427734375","1804.3763427734375"
"3650","1804.3828125","1804.3828125","1804.3828125"
"3700","1804.3890380859375","1804.3890380859375","1804.3890380859375"
"3750","1804.3953857421875","1804.3953857421875","1804.3953857421875"
"3800","1804.4019775390625","1804.4019775390625","1804.4019775390625"
"3850","1804.4090576171875","1804.4090576171875","1804.4090576171875"
"3900","1804.41650390625","1804.41650390625","1804.41650390625"
"3950","1804.423095703125","1804.423095703125","1804.423095703125"
"4000","1804.42919921875","1804.42919921875","1804.42919921875"
"4050","1804.4359130859375","1804.4359130859375","1804.4359130859375"
"4100","1804.44189453125","1804.44189453125","1804.44189453125"
"4150","1804.44775390625","1804.44775390625","1804.44775390625"
"4200","1804.45458984375","1804.45458984375","1804.45458984375"
"4250","1804.461181640625","1804.461181640625","1804.461181640625"
"4300","1804.4676513671875","1804.4676513671875","1804.4676513671875"
"4350","1804.47314453125","1804.47314453125","1804.47314453125"
"4400","1804.478759765625","1804.478759765625","1804.478759765625"
"4450","1804.4840087890625","1804.4840087890625","1804.4840087890625"
"4500","1804.4896240234375","1804.4896240234375","1804.4896240234375"
"4550","1804.4951171875","1804.4951171875","1804.4951171875"
"4600","1804.5008544921875","1804.5008544921875","1804.5008544921875"
"4650","1804.5062255859375","1804.5062255859375","1804.5062255859375"
"4700","1804.5118408203125","1804.5118408203125","1804.5118408203125"
"4750","1804.517822265625","1804.517822265625","1804.517822265625"
