"Step","bc-coldstart-v2 - grad_norm","bc-coldstart-v2 - grad_norm__MIN","bc-coldstart-v2 - grad_norm__MAX"
"0","0.39980775117874146","0.39980775117874146","0.39980775117874146"
"50","0.3127865493297577","0.3127865493297577","0.3127865493297577"
"100","0.25608640909194946","0.25608640909194946","0.25608640909194946"
"150","0.214649960398674","0.214649960398674","0.214649960398674"
"200","0.33814772963523865","0.33814772963523865","0.33814772963523865"
"250","0.8225149512290955","0.8225149512290955","0.8225149512290955"
"300","1.3724935054779053","1.3724935054779053","1.3724935054779053"
"350","1.9205880165100098","1.9205880165100098","1.9205880165100098"
"400","2.485111951828003","2.485111951828003","2.485111951828003"
"450","3.084890604019165","3.084890604019165","3.084890604019165"
"500","3.5833380222320557","3.5833380222320557","3.5833380222320557"
"550","3.8854501247406006","3.8854501247406006","3.8854501247406006"
"600","3.946085214614868","3.946085214614868","3.946085214614868"
"650","3.9605352878570557","3.9605352878570557","3.9605352878570557"
"700","3.6488218307495117","3.6488218307495117","3.6488218307495117"
"750","3.543549060821533","3.543549060821533","3.543549060821533"
"800","3.2041800022125244","3.2041800022125244","3.2041800022125244"
"850","2.9197566509246826","2.9197566509246826","2.9197566509246826"
"900","2.79193115234375","2.79193115234375","2.79193115234375"
"950","2.6191842555999756","2.6191842555999756","2.6191842555999756"
"1000","2.50723934173584","2.50723934173584","2.50723934173584"
"1050","2.309659004211426","2.309659004211426","2.309659004211426"
"1100","2.1647708415985107","2.1647708415985107","2.1647708415985107"
"1150","2.028345823287964","2.028345823287964","2.028345823287964"
"1200","1.9795379638671875","1.9795379638671875","1.9795379638671875"
"1250","1.827824354171753","1.827824354171753","1.827824354171753"
"1300","1.741070032119751","1.741070032119751","1.741070032119751"
"1350","1.6865819692611694","1.6865819692611694","1.6865819692611694"
"1400","1.6502833366394043","1.6502833366394043","1.6502833366394043"
"1450","1.5343507528305054","1.5343507528305054","1.5343507528305054"
"1500","1.413373351097107","1.413373351097107","1.413373351097107"
"1550","1.4284201860427856","1.4284201860427856","1.4284201860427856"
"1600","1.401872992515564","1.401872992515564","1.401872992515564"
"1650","1.3483047485351562","1.3483047485351562","1.3483047485351562"
"1700","1.2518917322158813","1.2518917322158813","1.2518917322158813"
"1750","1.2335996627807617","1.2335996627807617","1.2335996627807617"
"1800","1.1549358367919922","1.1549358367919922","1.1549358367919922"
"1850","1.149671196937561","1.149671196937561","1.149671196937561"
"1900","1.1034659147262573","1.1034659147262573","1.1034659147262573"
"1950","1.0800957679748535","1.0800957679748535","1.0800957679748535"
"2000","1.053056001663208","1.053056001663208","1.053056001663208"
"2050","1.0030378103256226","1.0030378103256226","1.0030378103256226"
"2100","0.9718283414840698","0.9718283414840698","0.9718283414840698"
"2150","0.9448921084403992","0.9448921084403992","0.9448921084403992"
"2200","0.923725962638855","0.923725962638855","0.923725962638855"
"2250","0.8720263242721558","0.8720263242721558","0.8720263242721558"
"2300","0.8705745339393616","0.8705745339393616","0.8705745339393616"
"2350","0.8147663474082947","0.8147663474082947","0.8147663474082947"
"2400","0.8250859379768372","0.8250859379768372","0.8250859379768372"
"2450","0.7796642184257507","0.7796642184257507","0.7796642184257507"
"2500","0.8010033965110779","0.8010033965110779","0.8010033965110779"
"2550","0.7652280926704407","0.7652280926704407","0.7652280926704407"
"2600","0.7453107833862305","0.7453107833862305","0.7453107833862305"
"2650","0.7610024809837341","0.7610024809837341","0.7610024809837341"
"2700","0.7496077418327332","0.7496077418327332","0.7496077418327332"
"2750","0.7232909798622131","0.7232909798622131","0.7232909798622131"
"2800","0.7234057188034058","0.7234057188034058","0.7234057188034058"
"2850","0.7178115844726562","0.7178115844726562","0.7178115844726562"
"2900","0.7101496458053589","0.7101496458053589","0.7101496458053589"
"2950","0.6509271264076233","0.6509271264076233","0.6509271264076233"
"3000","0.6665530800819397","0.6665530800819397","0.6665530800819397"
"3050","0.6465046405792236","0.6465046405792236","0.6465046405792236"
"3100","0.6349529027938843","0.6349529027938843","0.6349529027938843"
"3150","0.6393242478370667","0.6393242478370667","0.6393242478370667"
"3200","0.6460380554199219","0.6460380554199219","0.6460380554199219"
"3250","0.6703478097915649","0.6703478097915649","0.6703478097915649"
"3300","0.6411271691322327","0.6411271691322327","0.6411271691322327"
"3350","0.621891438961029","0.621891438961029","0.621891438961029"
"3400","0.5980522632598877","0.5980522632598877","0.5980522632598877"
"3450","0.5931248068809509","0.5931248068809509","0.5931248068809509"
"3500","0.6154873371124268","0.6154873371124268","0.6154873371124268"
"3550","0.608775794506073","0.608775794506073","0.608775794506073"
"3600","0.6157256364822388","0.6157256364822388","0.6157256364822388"
"3650","0.607683539390564","0.607683539390564","0.607683539390564"
"3700","0.5859347581863403","0.5859347581863403","0.5859347581863403"
"3750","0.5646381974220276","0.5646381974220276","0.5646381974220276"
"3800","0.5707807540893555","0.5707807540893555","0.5707807540893555"
"3850","0.5855194926261902","0.5855194926261902","0.5855194926261902"
"3900","0.5750172138214111","0.5750172138214111","0.5750172138214111"
"3950","0.5274950861930847","0.5274950861930847","0.5274950861930847"
"4000","0.5386258959770203","0.5386258959770203","0.5386258959770203"
"4050","0.5453176498413086","0.5453176498413086","0.5453176498413086"
"4100","0.5378760695457458","0.5378760695457458","0.5378760695457458"
"4150","0.5474890470504761","0.5474890470504761","0.5474890470504761"
"4200","0.5439743399620056","0.5439743399620056","0.5439743399620056"
"4250","0.5182708501815796","0.5182708501815796","0.5182708501815796"
"4300","0.5225319266319275","0.5225319266319275","0.5225319266319275"
"4350","0.5086228847503662","0.5086228847503662","0.5086228847503662"
"4400","0.517801821231842","0.517801821231842","0.517801821231842"
